Title	Franchise	Format	Genres	Era	Links
"=""Happy Death Day"""	"=""Happy Death Day"""	"=""movie"""	"=""comedy, horror"""	"=""2017"""	"=""https://en.wikipedia.org/wiki/Happy_Death_Day, https://tv.apple.com/us/movie/happy-death-day/umc.cmc.1k9lp3vutsnix4xwpy5c21lao"""
"=""Happy Death Day 2U"""	"=""Happy Death Day"""	"=""movie"""	"=""comedy, horror"""	"=""2019"""	"=""https://en.wikipedia.org/wiki/Happy_Death_Day_2U, https://tv.apple.com/us/movie/happy-death-day-2u/umc.cmc.4oa98xwryb4hthcwew0d0zpx4"""
"=""Hard Boiled"""	"="""""	"=""movie"""	"=""action, crime"""	"=""1992"""	"=""https://en.wikipedia.org/wiki/Hard_Boiled"""
"=""Harold & Kumar Go to White Castle"""	"="""""	"=""movie"""	"=""adventure, comedy"""	"=""2004"""	"=""https://en.wikipedia.org/wiki/Harold_%26_Kumar_Go_to_White_Castle, https://tv.apple.com/us/movie/harold--kumar-go-to-white-castle/umc.cmc.3o9zgddfhp1h8wr1v6tmah2c6"""
"=""Hate Thy Neighbor"""	"="""""	"=""series"""	"=""documentary, nonfiction, politics"""	"=""2017-2018"""	"=""https://en.wikipedia.org/wiki/Hate_Thy_Neighbor_(TV_series), https://tv.apple.com/us/show/hate-thy-neighbor/umc.cmc.6nzxry607ukds3i4090a1bytu"""
"=""Haven"""	"="""""	"=""series"""	"=""monsters, mystery, suspense"""	"=""2010-2015"""	"=""https://en.wikipedia.org/wiki/Haven_(TV_series), https://tv.apple.com/us/show/haven/umc.cmc.12hbghyk320zxb4sz3pso1xyh"""
"=""Heathers"""	"="""""	"=""movie"""	"=""comedy, crime, high school, romance"""	"=""1989"""	"=""https://en.wikipedia.org/wiki/Heathers, https://tv.apple.com/us/movie/heathers/umc.cmc.581l7cvk3knqv8jhdw6xkxt13"""
"=""Hip-Hop Evolution"""	"="""""	"=""series"""	"=""documentary, music, nonfiction"""	"=""2016-"""	"=""https://en.wikipedia.org/wiki/Hip-Hop_Evolution, https://www.netflix.com/title/80141782"""
"=""Homecoming"""	"="""""	"=""series"""	"=""science fiction, suspense"""	"=""2018-"""	"=""https://en.wikipedia.org/wiki/Homecoming_(TV_series), https://tv.apple.com/us/show/homecoming/umc.cmc.bhi4i7zknmr9l8r81kzx3ow7"""
"=""Homeland"""	"="""""	"=""series"""	"=""espionage, suspense"""	"=""2011-2020"""	"=""https://en.wikipedia.org/wiki/Homeland_(TV_series), https://tv.apple.com/us/show/homeland/umc.cmc.1n193s6qu86552u7opuewg19d"""
"=""The Hunt"""	"="""""	"=""movie"""	"=""action, horror, politics"""	"=""2020"""	"=""https://en.wikipedia.org/wiki/The_Hunt_(2020_film), https://tv.apple.com/us/movie/the-hunt/umc.cmc.2bc8p4o8floxwy0qq4f4e9op7"""
"=""I'll Be Gone in the Dark"""	"="""""	"=""miniseries"""	"=""crime, documentary, nonfiction"""	"=""2020"""	"=""https://en.wikipedia.org/wiki/I%27ll_Be_Gone_in_the_Dark_(TV_series), https://www.hbo.com/ill-be-gone-in-the-dark"""
"=""Idiocracy"""	"="""""	"=""movie"""	"=""comedy, politics, science fiction"""	"=""2006"""	"=""https://en.wikipedia.org/wiki/Idiocracy, https://tv.apple.com/us/movie/idiocracy/umc.cmc.6a3qv31nzb2uftnw0s16x1xsw"""
"=""The Incredibles"""	"=""The Incredibles"""	"=""movie"""	"=""animation, superheroes"""	"=""2004"""	"=""https://en.wikipedia.org/wiki/The_Incredibles, https://tv.apple.com/us/movie/the-incredibles/umc.cmc.3l02o7h3trocpynaslpu6epsv"""
"=""Incredibles 2"""	"=""The Incredibles"""	"=""movie"""	"=""animation, superheroes"""	"=""2018"""	"=""https://en.wikipedia.org/wiki/Incredibles_2, https://tv.apple.com/us/movie/incredibles-2/umc.cmc.uzvd8mpcpeyggo5ttxyeg58u"""
"=""Indiana Jones and the Last Crusade"""	"=""Indiana Jones"""	"=""movie"""	"=""action, adventure, comedy"""	"=""1989"""	"=""https://en.wikipedia.org/wiki/Indiana_Jones_and_the_Last_Crusade, https://tv.apple.com/us/movie/indiana-jones-and-the-last-crusade/umc.cmc.38jpsigo8blaihrqu8h445cld"""
"=""Inglourious Basterds"""	"="""""	"=""movie"""	"=""action, espionage, suspense, war"""	"=""2009"""	"=""https://en.wikipedia.org/wiki/Inglourious_Basterds, https://tv.apple.com/us/movie/inglourious-basterds/umc.cmc.3r1vekw1q5380qojcz9t1ie6a"""
"=""Into the Badlands"""	"="""""	"=""series"""	"=""action, fantasy, kung fu"""	"=""2015-2019"""	"=""https://en.wikipedia.org/wiki/Into_the_Badlands_(TV_series), https://tv.apple.com/us/show/into-the-badlands/umc.cmc.6n1kzpw2aun7w2qnqoh6eto37"""
